frame,BrowHeight_L,BrowHeight_R,BrowSpeed_L,BrowSpeed_R,EAR_L,EAR_R,EARSpeed_L,EARSpeed_R,MouthWidth,LipGap,MouthArea,LipCornerLift_L,LipCornerLift_R,UpperLipHeight,LowerLipHeight,CheekWidth_L,CheekWidth_R,JawOpen
1988,0.4124509747429647,0.47149238381143393,0.0005378805499151595,0.001419540540557207,0.3036333337144051,0.49917452715656463,-0.05326053223432803,-0.030770698894093895,0.5635321922878448,0.07358338337883377,0.04146660535143116,-0.05892704805005802,-0.06632142883542883,0.4384605569186687,0.8642442465208444,0.6571498833784178,0.6518006362449729,0.9378082674361391
1989,0.4123869713614066,0.4710489714121523,-6.40033815580976e-05,-0.00044341239928163967,0.2640385128733775,0.47514824974604175,-0.03959482084102761,-0.024026277410522878,0.5607355579687056,0.07685323114303089,0.04309433944668532,-0.056474581384881366,-0.0651678718262841,0.43572152471782033,0.8545612306047607,0.6514023679406898,0.6476732348680695,0.9313968876355158
1990,0.4120201585345697,0.47056795023957904,-0.0003668128268369264,-0.0004810211725732594,0.2397025818149267,0.46208448251065837,-0.024335931058450777,-0.013063767235383383,0.5600014467862525,0.08606128680552064,0.04819444512337818,-0.056545694648074595,-0.0675546996486205,0.4341641339569584,0.8452027500552618,0.6489367766107598,0.6473682787191671,0.9312463003069288
1991,0.41105714398548376,0.4705302191614295,-0.0009630145490859277,-3.77310781495277e-05,0.23799211539939277,0.45955800799300595,-0.0017104664155339344,-0.0025264745176524217,0.5604628523661065,0.09787514278632199,0.05485538170176198,-0.058113958976140564,-0.07129109993086935,0.4342086617319307,0.8369136621459872,0.649809522599096,0.6492401131455288,0.9347721441610397
1992,0.4099721977305355,0.4700723041375843,-0.0010849462549482602,-0.0004579150238452345,0.2526599906636805,0.46374732341264635,0.014667875264287727,0.004189315419640405,0.5612689655140907,0.11005007213317783,0.061767690140939774,-0.06112958424378608,-0.0756116769583365,0.43465784808560537,0.8298290182930503,0.6517502739975822,0.6521248015579767,0.9398662013658605
1993,0.40920247754674105,0.46954307126556455,-0.0007697201837944534,-0.0005292328720197248,0.27762665420097365,0.47396423041928887,0.024966663537293154,0.010216907006642517,0.5615692023891741,0.11965279350427284,0.06719332381183105,-0.0644631217311977,-0.07904090712465597,0.4353410613578282,0.8252600887706855,0.6535495697351316,0.6547474026249501,0.9449042885622152
1994,0.40880929057986903,0.4689143370469777,-0.0003931869668720167,-0.000628734218586835,0.30483917637305236,0.4865852837274247,0.0272125221720787,0.012621053308135843,0.561741401042781,0.12683083737533593,0.07124613228265032,-0.06699612614792225,-0.08108041172169321,0.4360970678247235,0.8221452374380321,0.655256093437205,0.6569031657182457,0.9489707163017834
1995,0.40851265595289293,0.4682647962336501,-0.0002966346269761,-0.0006495408133276315,0.3312633194744377,0.5001678921569686,0.026424143101385356,0.013582608429543841,0.5617783476975772,0.1316672228169364,0.07396779488002726,-0.06908619986640974,-0.08220921870651211,0.43652425662029265,0.820038829609569,0.656571588523326,0.658661697818905,0.9517022198274097
1996,0.4086080793970982,0.46767662994964493,9.542344420526705e-05,-0.0005881662840051538,0.3554176334751571,0.5129670642780322,0.02415431400071938,0.012799172121063629,0.5618082427066292,0.13435129224917108,0.07547966340387158,-0.07072557249644168,-0.08246707607855731,0.4364590307273592,0.8189293651340106,0.6573890664603518,0.6602983136746113,0.9532771228424844
1997,0.40895910605364855,0.4671860213567146,0.00035102665655034615,-0.0004906085929303194,0.3772145131597396,0.5250428556135346,0.021796879684582493,0.012075791335502406,0.5620681039085527,0.12536269633889108,0.07046237303206417,-0.06870817870184165,-0.07882060210359385,0.4389533198984146,0.8254772147409387,0.6577562168971431,0.6617607628709774,0.9508393070685126
